target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP035291.1_cds_WP_016930933.1_1	1356	1064.16	6099	131.52
lcl|NZ_CP035291.1_cds_WP_011274360.1_2	1134	834.46	10184	280.05
lcl|NZ_CP035291.1_cds_WP_172458781.1_3	243	37.33	1739	1068.98
lcl|NZ_CP035291.1_cds_WP_016930931.1_4	1116	807.32	9062	257.58
lcl|NZ_CP035291.1_cds_WP_033079924.1_5	1935	1637.31	10643	149.16
lcl|NZ_CP035291.1_cds_WP_016930929.1_6	2700	2409.42	19879	189.33
lcl|NZ_CP035291.1_cds_WP_016930928.1_7	813	513.1	808	36.14
lcl|NZ_CP035291.1_cds_WP_016930927.1_8	1287	993.1	7813	180.53
lcl|NZ_CP035291.1_cds_WP_016930926.1_9	696	390.94	375	22.01
lcl|NZ_CP035291.1_cds_WP_016930925.1_10	330	63.43	213	77.06
lcl|NZ_CP035291.1_cds_WP_016930924.1_11	969	668.39	531	18.23
lcl|NZ_CP035291.1_cds_WP_029376641.1_12	927	634.39	3009	108.84
lcl|NZ_CP035291.1_cds_WP_011274371.1_13	1968	1673.07	9114	125
lcl|NZ_CP035291.1_cds_WP_016930923.1_14	447	146.14	1851	290.65
lcl|NZ_CP035291.1_cds_WP_011274373.1_15	1401	1107.18	8415	174.41
lcl|NZ_CP035291.1_cds_WP_011274374.1_16	1284	991.44	2598	60.13
lcl|NZ_CP035291.1_cds_WP_011274375.1_17	702	404.84	2629	149.02
lcl|NZ_CP035291.1_cds_WP_016930922.1_18	1827	1530.07	4779	71.67
lcl|NZ_CP035291.1_cds_WP_033079928.1_19	1332	1035.67	1964	43.52
lcl|NZ_CP035291.1_cds_WP_033079929.1_20	792	498.66	958	44.08
lcl|NZ_CP035291.1_cds_WP_011274380.1_21	801	509.55	1214	54.67
lcl|NZ_CP035291.1_cds_WP_033079930.1_22	480	190.72	223	26.83
lcl|NZ_CP035291.1_cds_WP_057504846.1_23	777	480.15	0	0
lcl|NZ_CP035291.1_cds_WP_031864346.1_24	384	95.32	0	0
lcl|NZ_CP035291.1_cds_WP_224743207.1_25	567	275.76	0	0
lcl|NZ_CP035291.1_cds_WP_048665480.1_26	396	107.12	0	0
lcl|NZ_CP035291.1_cds_WP_172458787.1_27	1293	998.62	0	0
lcl|NZ_CP035291.1_cds_WP_011274435.1_28	318	54.25	0	0
lcl|NZ_CP035291.1_cds_WP_031796870.1_29	2061	1760.44	0	0
lcl|NZ_CP035291.1_cds_WP_016931282.1_30	546	255.71	0	0
lcl|NZ_CP035291.1_cds_WP_002472781.1_31	144	27.74	0	0
lcl|NZ_CP035291.1_cds_WP_031870511.1_32	1254	948.44	0	0
lcl|NZ_CP035291.1_cds_WP_031870512.1_33	222	37.68	0	0
lcl|NZ_CP035291.1_cds_WP_031870513.1_34	498	194.94	0	0
